# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Intensity time series of FeOf06a (see pmd_climfeat.dat) for intervals of
# 30 min of X-shooter data
# 
# Column names:
# bin: unique number of half-hourly bin
# fbin: fraction of bin (summed exposure time divided by 30 min)
# N: number of combined exposures
# year: year
# DOY: day of year
# LT: weighted local time for combined exposures in hours (for longitude of
#     Cerro Paranal)
# MJD: Modified Julian Date for LT
# S27d: solar radio flux averaged for 27 days in solar flux units (sfu)
# I: intensity in R (source: noll+24)
# 
    bin   fbin  N  year  DOY     LT        MJD   S27d          I 
  19700  0.833  1  2010   46   3.39  55242.337   82.9  1.669e+01 
  19701  0.833  1  2010   46   3.91  55242.359   82.9  1.387e+01 
  19734  0.500  1  2010   46  20.36  55243.044   83.0  1.154e+01 
  19735  0.500  1  2010   46  20.62  55243.055   83.0  1.297e+01 
  19738  2.000  1  2010   46  22.37  55243.128   83.0  1.292e+01 
  19740  2.000  1  2010   46  23.50  55243.175   83.0  1.535e+01 
  19743  2.000  1  2010   47   0.59  55243.220   83.1  1.290e+01 
  19745  1.000  2  2010   47   1.67  55243.265   83.1  2.029e+01 
  19746  1.000  2  2010   47   2.27  55243.290   83.1  2.105e+01 
  19748  0.533  1  2010   47   3.26  55243.331   83.1  1.521e+01 
  19749  1.027  1  2010   47   3.89  55243.358   83.1  1.281e+01 
  19797  1.000  1  2010   48   3.63  55244.347   83.2  1.727e+01 
  19798  1.000  1  2010   48   4.16  55244.369   83.2  1.875e+01 
  19830  0.880  2  2010   48  20.29  55245.041   83.4  2.277e+01 
  19832  0.880  2  2010   48  21.26  55245.081   83.4  2.061e+01 
  19834  0.500  1  2010   48  22.17  55245.119   83.4  1.705e+01 
  19835  1.000  1  2010   48  22.56  55245.136   83.4  1.958e+01 
  19836  0.500  1  2010   48  23.19  55245.162   83.4  1.787e+01 
  19837  1.000  1  2010   48  23.58  55245.178   83.4  1.430e+01 
  19838  0.500  1  2010   49   0.37  55245.211   83.4  1.639e+01 
  19839  1.000  1  2010   49   0.76  55245.227   83.4  1.805e+01 
  19840  0.500  1  2010   49   1.44  55245.256   83.5  1.409e+01 
  19841  1.000  1  2010   49   1.83  55245.272   83.5  2.115e+01 
  19842  0.500  1  2010   49   2.49  55245.299   83.5  1.821e+01 
  19843  1.000  1  2010   49   2.87  55245.315   83.5  2.042e+01 
  19886  0.500  1  2010   50   0.29  55246.208   83.7  1.395e+01 
  19887  1.000  2  2010   50   0.71  55246.225   83.7  2.049e+01 
  19888  0.500  1  2010   50   1.12  55246.242   83.7  1.762e+01 
  19926  0.880  2  2010   50  20.27  55247.040   83.7  3.580e+01 
  19929  0.667  1  2010   50  21.99  55247.112   83.7  2.642e+01 
  19930  0.667  1  2010   50  22.35  55247.127   83.7  2.102e+01 
  19931  0.667  1  2010   50  22.71  55247.142   83.7  2.293e+01 
  19932  0.667  1  2010   50  23.07  55247.157   83.7  2.212e+01 
  19973  0.440  1  2010   51  19.99  55248.028   83.4  2.428e+01 
  19974  0.440  1  2010   51  20.31  55248.042   83.4  2.960e+01 
  20033  0.540  1  2010   53   1.81  55249.271   82.9  3.330e+01 
  20034  0.540  1  2010   53   2.19  55249.287   82.9  3.292e+01 
  20038  0.540  1  2010   53   4.23  55249.372   82.8  3.512e+01 
  20082  0.733  2  2010   54   2.32  55250.292   82.3  3.645e+01 
  20083  0.367  1  2010   54   2.64  55250.306   82.3  3.537e+01 
  20084  0.733  2  2010   54   3.28  55250.332   82.3  3.247e+01 
  20085  0.733  2  2010   54   3.82  55250.355   82.3  2.220e+01 
