# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Intensity time series of NaI0590 (see pmd_climfeat.dat) for intervals of
# 30 min of X-shooter data
# 
# Column names:
# bin: unique number of half-hourly bin
# fbin: fraction of bin (summed exposure time divided by 30 min)
# N: number of combined exposures
# year: year
# DOY: day of year
# LT: weighted local time for combined exposures in hours (for longitude of
#     Cerro Paranal)
# MJD: Modified Julian Date for LT
# S27d: solar radio flux averaged for 27 days in solar flux units (sfu)
# I: intensity in R (new measurements)
# 
    bin   fbin   N  year  DOY     LT        MJD   S27d          I 
  16278  0.833   1  2009  339  20.38  55171.045   72.8  2.792e+00 
  16279  0.833   1  2009  339  20.82  55171.063   72.8  2.540e+00 
  16280  0.333   1  2009  339  21.45  55171.089   72.8  2.464e+00 
  16281  0.333   1  2009  339  21.66  55171.098   72.8  2.389e+00 
  16282  0.333   1  2009  339  22.09  55171.116   72.8  3.048e+00 
  16326  0.667   1  2009  340  20.36  55172.044   73.0  2.893e+00 
  16327  0.667   1  2009  340  20.78  55172.061   73.0  4.868e+00 
  16329  1.000   1  2009  340  21.76  55172.102   73.0  4.941e+00 
  16330  1.000   1  2009  340  22.29  55172.124   73.0  5.507e+00 
  16470  0.833   1  2009  343  20.15  55175.035   73.8  4.686e+00 
  16471  0.833   1  2009  343  20.58  55175.053   73.8  4.499e+00 
  16472  0.667   1  2009  343  21.39  55175.087   73.8  4.691e+00 
  16473  0.667   1  2009  343  21.80  55175.104   73.8  4.460e+00 
  16566  0.782   2  2009  345  20.18  55177.036   74.0  4.894e+00 
  16567  0.667   2  2009  345  20.72  55177.059   74.0  4.088e+00 
  16568  0.333   1  2009  345  21.04  55177.072   74.0  3.826e+00 
  16710  0.833   1  2009  348  20.16  55180.035   74.4  3.496e+00 
  16711  0.833   1  2009  348  20.59  55180.053   74.4  3.034e+00 
  16771  0.333   2  2009  350   2.65  55181.306   74.5  4.433e+00 
  16806  0.489   4  2009  350  20.31  55182.042   74.6  5.991e+00 
  16807  0.489   4  2009  350  20.75  55182.060   74.6  5.492e+00 
  16854  1.000   3  2009  351  20.22  55183.038   74.8  3.784e+00 
  16855  0.333   1  2009  351  20.60  55183.054   74.8  2.985e+00 
  16856  1.000   3  2009  351  21.21  55183.079   74.8  2.456e+00 
  16857  0.333   1  2009  351  21.60  55183.095   74.8  2.783e+00 
  16858  0.667   2  2009  351  22.39  55183.128   74.8  3.310e+00 
  16859  0.667   2  2009  351  22.77  55183.145   74.9  3.757e+00 
  16860  0.667   2  2009  351  23.36  55183.169   74.9  3.767e+00 
  16861  0.667   2  2009  351  23.74  55183.185   74.9  4.339e+00 
  16862  0.667   2  2009  352   0.38  55183.212   74.9  3.497e+00 
  16863  0.667   2  2009  352   0.77  55183.228   74.9  4.025e+00 
  16902  1.000   3  2009  352  20.27  55184.040   75.1  3.905e+00 
  16903  0.333   1  2009  352  20.66  55184.056   75.1  3.070e+00 
  16904  1.000   3  2009  352  21.26  55184.081   75.1  3.647e+00 
  16905  0.333   1  2009  352  21.65  55184.098   75.1  3.279e+00 
  16906  0.333   1  2009  352  22.34  55184.126   75.1  3.750e+00 
  16907  1.000   3  2009  352  22.72  55184.142   75.1  3.608e+00 
  16908  0.667   2  2009  352  23.38  55184.170   75.1  3.308e+00 
  16909  0.667   2  2009  352  23.77  55184.186   75.1  3.425e+00 
  16910  0.667   2  2009  353   0.36  55184.211   75.1  2.891e+00 
  16911  0.667   2  2009  353   0.75  55184.227   75.1  3.196e+00 
  16912  0.333   1  2009  353   1.43  55184.255   75.1  2.867e+00 
  16913  0.333   1  2009  353   1.63  55184.263   75.1  2.511e+00 
  17048  1.000   2  2009  355  21.32  55187.084   75.6  3.090e+00 
  17049  0.500   1  2009  355  21.73  55187.101   75.6  2.597e+00 
  17050  1.000   2  2009  355  22.20  55187.121   75.6  3.187e+00 
  17051  1.000   2  2009  355  22.82  55187.146   75.6  3.212e+00 
  17052  0.500   1  2009  355  23.23  55187.164   75.6  3.045e+00 
  17053  0.333   1  2009  355  23.89  55187.191   75.6  2.288e+00 
  17054  0.333   1  2009  356   0.09  55187.199   75.6  2.888e+00 
  17055  1.333   2  2009  356   0.70  55187.225   75.6  3.260e+00 
  17056  0.667   1  2009  356   1.27  55187.249   75.6  3.187e+00 
  17057  0.667   1  2009  356   1.65  55187.264   75.6  3.348e+00 
