   Source_name        RA        Dec RegType  Major  Minor Theta Color reg_qual expnum   mjd exptime      RA_2      Dec_2  tileid                                                                      location Source_name_2 separation table1_index table2_index
 SNR_B0513-692 78.298214 -69.199195 ellipse 149.51 102.45    55  blue     good   7584 60260   900.0 78.278866 -69.006875 1027984 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027984/60260/lvmSFrame-00007584.fits          7584     692.80           45         1089
 SNR_B0513-692 78.298214 -69.199195 ellipse 149.51 102.45    55  blue     good   7585 60260   900.0 78.274032 -69.008322 1027984 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027984/60260/lvmSFrame-00007585.fits          7585     687.84           45         1090
    J0450–6818  72.55737 -68.299559 ellipse 247.93 192.34    60  blue     good   7701 60263   900.0 72.654541 -68.136274 1028026 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028026/60263/lvmSFrame-00007701.fits          7701     601.99            5         1124
    J0508−6830 77.208333 -68.513889 ellipse   69.0   69.0   160  blue      bad   7824 60264   900.0 77.711032 -68.641509 1028007 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028007/60264/lvmSFrame-00007824.fits          7824     804.96           36         1125
     SNR_N103B 77.245833 -68.726389 ellipse   15.0   15.0     0  blue     good   7824 60264   900.0 77.711032 -68.641509 1028007 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028007/60264/lvmSFrame-00007824.fits          7824     681.16           37         1125
    J0508−6830 77.208333 -68.513889 ellipse   69.0   69.0   160  blue      bad   7825 60264   900.0 77.704516 -68.643364 1028007 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028007/60264/lvmSFrame-00007825.fits          7825     801.78           36         1126
     SNR_N103B 77.245833 -68.726389 ellipse   15.0   15.0     0  blue     good   7825 60264   900.0 77.704516 -68.643364 1028007 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028007/60264/lvmSFrame-00007825.fits          7825     670.53           37         1126
    J0508−6830 77.208333 -68.513889 ellipse   69.0   69.0   160  blue      bad   7826 60264   900.0 77.721679 -68.643547 1028007 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028007/60264/lvmSFrame-00007826.fits          7826     820.62           36         1127
     SNR_N103B 77.245833 -68.726389 ellipse   15.0   15.0     0  blue     good   7826 60264   900.0 77.721679 -68.643547 1028007 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028007/60264/lvmSFrame-00007826.fits          7826     690.42           37         1127
    J0508−6830 77.208333 -68.513889 ellipse   69.0   69.0   160  blue      bad   7827 60264   900.0  77.70689 -68.646958 1028007 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028007/60264/lvmSFrame-00007827.fits          7827     811.85           36         1128
     SNR_N103B 77.245833 -68.726389 ellipse   15.0   15.0     0  blue     good   7827 60264   900.0  77.70689 -68.646958 1028007 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028007/60264/lvmSFrame-00007827.fits          7827     667.62           37         1128
    J0508−6830 77.208333 -68.513889 ellipse   69.0   69.0   160  blue      bad   7828 60264   900.0 77.725231 -68.647577 1028007 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028007/60264/lvmSFrame-00007828.fits          7828     832.72           36         1129
     SNR_N103B 77.245833 -68.726389 ellipse   15.0   15.0     0  blue     good   7828 60264   900.0 77.725231 -68.647577 1028007 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028007/60264/lvmSFrame-00007828.fits          7828     688.46           37         1129
    J0508−6830 77.208333 -68.513889 ellipse   69.0   69.0   160  blue      bad   7829 60264   900.0 77.718542 -68.649833 1028007 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028007/60264/lvmSFrame-00007829.fits          7829     830.29           36         1130
