# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# List of lines/multiplets/features with measured X-shooter/UVES time series
# that were used for the derivation of the PALACE reference climatologies
# (includes results from noll+19, noll+23, and noll+24)
# 
# Column names:
# feat: label of line/multiplet/feature
# lam: central vacuum wavelength in µm (source: HITRAN2020 for molecules,
#      NIST for atoms, or noll+24 for continuum features)
# dlam: distance from lam to lower und upper wavelength limit in µm
#       (multiplet: defined by distribution of component wavelengths,
#       continuum feature: defined by integration range)
# Nlin: number of components (99 for continuum feature)
# I: reference intensity from climatology in R
# class: label of variability class
# 
# References:
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# NIST: https://physics.nist.gov/asd
# noll+19: https://doi.org/10.1029/2018JD030044 (only KI0770)
# noll+23: https://doi.org/10.1029/2022JD038275 (OH at > 1.005 µm)
# noll+24: https://doi.org/10.5194/acp-24-1143-2024 (continuum features)
# 
      feat       lam      dlam  Nlin           I  class 
  OH42P104  1.635130  0.000065     2   3.542e+03   OH5b 
  OH53R104  1.638849  0.000025     2   1.950e+03   OH5b 
  OH53R204  1.641474  0.000009     2   9.349e+02   OH5b 
  OH53R103  1.644216  0.000019     2   3.831e+03   OH5a 
  OH53R102  1.650237  0.000012     2   4.536e+03   OH5a 
  OH31P211  1.652939  0.000137     2   8.806e+01   OH6d 
  OH31P111  1.654110  0.000200     2   1.324e+02   OH6d 
  OH53R202  1.655382  0.000009     2   1.686e+03   OH5a 
  OH42P206  1.658632  0.000053     2   2.993e+02   OH5b 
  OH42P106  1.661103  0.000103     2   5.247e+02   OH5b 
  OH53Q101  1.669238  0.000011     2   1.258e+04   OH5a 
  OH53Q102  1.670885  0.000041     2   4.369e+03   OH5a 
  OH53Q203  1.672474  0.000067     2   1.900e+02   OH5a 
  OH53Q103  1.673248  0.000092     2   1.443e+03   OH5a 
  OH42P107  1.675507  0.000123     2   2.917e+02   OH4c 
  OH53P201  1.684048  0.000015     2   2.662e+03   OH5a 
  OH42P208  1.689001  0.000088     2   1.059e+02   OH4c 
  OH53P101  1.690368  0.000018     2   8.988e+03   OH5a 
  OH53P202  1.695508  0.000006     2   3.557e+03   OH5a 
  OH53P102  1.700876  0.000033     2   1.002e+04   OH5a 
  OH53P203  1.707837  0.000006     2   2.923e+03   OH5a 
  OH53P103  1.712366  0.000050     2   7.086e+03   OH5a 
  OH64R207  1.722197  0.000029     2   1.012e+02   OH8c 
  OH64R206  1.725759  0.000025     2   2.387e+02   OH7b 
  OH64R105  1.728288  0.000028     2   8.123e+02   OH7b 
  OH64R205  1.730336  0.000018     2   4.298e+02   OH7b 
  OH64R104  1.733088  0.000025     2   1.929e+03   OH7b 
  OH53P205  1.735115  0.000037     2   8.674e+02   OH5b 
  OH64R204  1.735968  0.000010     2   9.206e+02   OH7b 
  OH64R203  1.742705  0.000000     2   1.554e+03   OH7a 
  OH64R102  1.744997  0.000012     2   4.072e+03   OH7a 
  OH64R202  1.750590  0.000009     2   1.552e+03   OH7a 
  OH53P106  1.752937  0.000110     2   6.136e+02   OH5b 
  OH64Q101  1.765322  0.000011     2   1.102e+04   OH7a 
  OH64Q202  1.766489  0.000063     2   3.967e+02   OH7a 
  OH64Q102  1.767181  0.000041     2   3.898e+03   OH7a 
  OH64Q103  1.769845  0.000094     2   1.256e+03   OH7a 
  OH64Q204  1.772386  0.000056     2   5.159e+01   OH7b 
  OH64P201  1.781148  0.000017     2   2.581e+03   OH7a 
  OH53P108  1.785244  0.000156     2   2.461e+02   OH4c 
  OH64P101  1.788030  0.000018     2   8.210e+03   OH7a 
  OH64P102  1.799396  0.000034     2   9.219e+03   OH7a 
  OH64P203  1.806794  0.000005     2   2.774e+03   OH7a 
  OH64P103  1.811850  0.000053     2   6.972e+03   OH7a 
  OH75Q103  1.879641  0.000096     2   1.369e+03   OH7a 
  OH75P103  1.925031  0.000056     2   6.534e+03   OH7a 
  OH75P204  1.935012  0.000020     2   1.790e+03   OH7b 
  OH86R104  1.964247  0.000023     2   1.962e+03   OH9b 
  OH86R204  1.967799  0.000014     2   9.694e+02   OH9b 
