# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# PALACE reference spectra with atmospheric extinction for the total emission
# and for the chemical species OH, O2, HO2, FeO, Na, K, O, N, and H
# 
# Column names:
# lam: air wavelength in µm
# f{species}: flux in R/nm with atmospheric extinction for total emission
#             (all) or individual chemical species
# df{species}: standard deviation for f{species} in R/nm
# 
    lam     fall    dfall      fOH     dfOH      fO2     dfO2   fHO2  dfHO2  fFeO  dfFeO    fNa   dfNa    fK   dfK      fO     dfO    fN   dfN    fH   dfH 
 0.3087     2.12     0.87     0.00     0.00     1.79     0.72   0.11   0.06  0.22   0.09   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3088     2.14     0.88     0.00     0.00     1.80     0.72   0.11   0.06  0.22   0.09   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3089     2.15     0.88     0.00     0.00     1.81     0.73   0.12   0.06  0.22   0.09   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3090     2.18     0.89     0.00     0.00     1.83     0.74   0.12   0.06  0.22   0.10   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3091     2.21     0.91     0.00     0.00     1.86     0.75   0.12   0.06  0.23   0.10   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3092     2.25     0.92     0.00     0.00     1.89     0.76   0.12   0.06  0.23   0.10   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3093     2.30     0.94     0.00     0.00     1.93     0.78   0.12   0.06  0.24   0.10   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3094     2.35     0.96     0.00     0.00     1.98     0.80   0.13   0.06  0.24   0.10   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3095     2.40     0.98     0.00     0.00     2.02     0.81   0.13   0.07  0.25   0.11   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3096     2.43     1.00     0.00     0.00     2.05     0.82   0.13   0.07  0.25   0.11   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3097     2.45     1.01     0.00     0.00     2.07     0.83   0.13   0.07  0.26   0.11   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3098     2.47     1.01     0.00     0.00     2.08     0.84   0.13   0.07  0.26   0.11   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3099     2.47     1.01     0.00     0.00     2.08     0.84   0.13   0.07  0.26   0.11   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3100     2.47     1.01     0.00     0.00     2.08     0.84   0.13   0.07  0.26   0.11   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3101     2.47     1.01     0.00     0.00     2.07     0.83   0.13   0.07  0.26   0.11   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3102     2.47     1.01     0.00     0.00     2.07     0.83   0.13   0.07  0.26   0.11   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3103     2.48     1.02     0.00     0.00     2.08     0.84   0.13   0.07  0.26   0.11   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3104     2.50     1.02     0.00     0.00     2.10     0.84   0.14   0.07  0.26   0.11   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3105     2.52     1.03     0.00     0.00     2.12     0.85   0.14   0.07  0.26   0.11   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3106     2.54     1.04     0.00     0.00     2.13     0.86   0.14   0.07  0.27   0.11   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3107     2.55     1.05     0.00     0.00     2.14     0.86   0.14   0.07  0.27   0.11   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3108     2.56     1.05     0.00     0.00     2.15     0.87   0.14   0.07  0.27   0.12   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3109     2.58     1.06     0.00     0.00     2.16     0.87   0.14   0.07  0.27   0.12   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3110     2.58     1.06     0.00     0.00     2.17     0.87   0.14   0.07  0.27   0.12   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3111     2.58     1.06     0.00     0.00     2.17     0.87   0.14   0.07  0.27   0.12   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3112     2.58     1.06     0.00     0.00     2.17     0.87   0.14   0.07  0.27   0.12   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3113     2.58     1.06     0.00     0.00     2.16     0.87   0.14   0.07  0.27   0.12   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3114     2.59     1.06     0.00     0.00     2.17     0.87   0.14   0.07  0.27   0.12   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3115     2.61     1.07     0.00     0.00     2.19     0.88   0.14   0.07  0.28   0.12   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
