# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Results of the evaluation of PALACE and the airglow component of the ESO Sky
# Model (noll+12) in comparison to X-shooter UVB-arm spectra
# 
# Column names:
# lam: central air wavelength of bin in µm
# lpix: lower pixel of bin in X-shooter UVB-arm spectra
# upix: upper pixel of bin in X-shooter UVB-arm spectra
# Nsel: number of selected X-shooter spectra
# mfx: mean flux of X-shooter data in R/nm
# mfp: mean flux of PALACE in R/nm
# mdfp: mean scatter of PALACE in R/nm
# mfo: mean flux of other sky radiation components from ESO Sky Model in R/nm
# fng: fraction of nightglow from ratio of mfp and mfp + mfo
# rdelp: relative deviation for PALACE (mfp / mfx - 1)
# rdp: relative scatter for PALACE (mdfp divided by standard deviation of
#      fp - fx from individual spectra)
# mfs: mean flux of airglow component of ESO Sky Model in R/nm
# mdfs: mean scatter of airglow component of ESO Sky Model in R/nm
# rdels: relative deviation for ESO Sky Model (mfs / mfx - 1)
# rds: relative scatter for ESO Sky Model (mdfs divided by standard deviation
#      of fs - fx from individual spectra)
# 
# References:
# noll+12: https://doi.org/10.1051/0004-6361/201219040
# 
     lam   lpix   upix  Nsel         mfx        mfp       mdfp        mfo        fng    rdelp    rdp        mfs       mdfs    rdels    rds 
 0.33315   1704   1719  6864   4.760e+00  5.123e+00  1.829e+00  2.021e+00  7.171e-01    0.076  0.881  4.396e+00  2.260e+00   -0.076  1.036 
 0.33348   1720   1736  6863   3.944e+00  4.435e+00  1.581e+00  1.953e+00  6.943e-01    0.124  0.837  4.148e+00  2.190e+00    0.051  1.082 
 0.33382   1737   1753  6861   3.745e+00  3.721e+00  1.324e+00  1.864e+00  6.663e-01   -0.006  0.762  3.764e+00  2.141e+00    0.005  1.144 
 0.33415   1754   1769  6855   3.157e+00  3.582e+00  1.273e+00  1.992e+00  6.426e-01    0.135  0.784  3.812e+00  2.161e+00    0.207  1.215 
 0.33448   1770   1786  6859   3.572e+00  3.459e+00  1.228e+00  2.099e+00  6.223e-01   -0.032  0.743  3.845e+00  2.172e+00    0.076  1.222 
 0.33482   1787   1803  6855   2.694e+00  3.334e+00  1.183e+00  2.086e+00  6.152e-01    0.237  0.775  3.865e+00  2.175e+00    0.435  1.282 
 0.33515   1804   1819  6860   3.394e+00  3.159e+00  1.120e+00  2.062e+00  6.050e-01   -0.069  0.738  3.883e+00  2.177e+00    0.144  1.318 
 0.33549   1820   1836  6861   2.851e+00  3.161e+00  1.121e+00  2.182e+00  5.916e-01    0.109  0.793  3.889e+00  2.172e+00    0.364  1.376 
 0.33582   1837   1853  6860   2.784e+00  3.695e+00  1.313e+00  2.019e+00  6.467e-01    0.327  0.957  3.892e+00  2.166e+00    0.398  1.413 
 0.33616   1854   1870  6858   2.733e+00  4.432e+00  1.579e+00  1.658e+00  7.277e-01    0.622  1.189  3.882e+00  2.152e+00    0.420  1.453 
 0.33650   1871   1887  6862   3.374e+00  4.973e+00  1.775e+00  1.901e+00  7.235e-01    0.474  1.170  3.860e+00  2.132e+00    0.144  1.314 
 0.33683   1888   1903  6873   1.007e+01  7.017e+00  2.512e+00  1.799e+00  7.959e-01   -0.303  0.780  5.302e+00  2.333e+00   -0.473  0.682 
 0.33717   1904   1920  6873   1.010e+01  8.321e+00  2.983e+00  1.703e+00  8.301e-01   -0.177  0.934  6.249e+00  2.464e+00   -0.382  0.720 
 0.33751   1921   1937  6874   7.655e+00  8.293e+00  2.973e+00  1.893e+00  8.141e-01    0.083  1.251  6.022e+00  2.439e+00   -0.213  0.945 
 0.33784   1938   1954  6870   6.493e+00  7.543e+00  2.702e+00  2.098e+00  7.824e-01    0.162  1.267  5.685e+00  2.376e+00   -0.124  1.025 
 0.33818   1955   1971  6870   5.684e+00  6.300e+00  2.253e+00  1.968e+00  7.619e-01    0.108  1.187  5.055e+00  2.235e+00   -0.111  1.078 
 0.33852   1972   1988  6870   5.413e+00  5.472e+00  1.955e+00  2.066e+00  7.259e-01    0.011  1.075  4.671e+00  2.175e+00   -0.137  1.103 
 0.33886   1989   2005  6865   4.252e+00  4.374e+00  1.558e+00  2.136e+00  6.719e-01    0.029  1.003  3.904e+00  2.099e+00   -0.082  1.233 
 0.33920   2006   2022  6865   3.885e+00  4.185e+00  1.490e+00  2.077e+00  6.683e-01    0.077  1.029  3.904e+00  2.090e+00    0.005  1.297 
 0.33954   2023   2039  6867   4.174e+00  3.930e+00  1.398e+00  2.058e+00  6.563e-01   -0.059  0.926  3.902e+00  2.081e+00   -0.065  1.254 
 0.33988   2040   2056  6862   3.741e+00  3.655e+00  1.299e+00  2.281e+00  6.157e-01   -0.023  0.914  3.888e+00  2.065e+00    0.039  1.316 
 0.34022   2057   2073  6859   2.957e+00  3.367e+00  1.195e+00  2.345e+00  5.895e-01    0.138  0.930  3.869e+00  2.047e+00    0.308  1.391 
 0.34056   2074   2090  6860   3.006e+00  3.257e+00  1.155e+00  2.197e+00  5.971e-01    0.084  0.886  3.884e+00  2.047e+00    0.292  1.378 
