# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# PALACE reference spectra without atmospheric extinction for the total
# emission and for the chemical species OH, O2, HO2, FeO, Na, K, O, N, and H
# 
# Column names:
# lam: vacuum wavelength in µm
# f{species}: flux in R/nm without atmospheric extinction for total emission
#             (all) or individual chemical species
# df{species}: standard deviation for f{species} in R/nm
# 
    lam      fall     dfall      fOH     dfOH       fO2      dfO2   fHO2  dfHO2  fFeO  dfFeO    fNa   dfNa    fK   dfK      fO     dfO    fN   dfN    fH   dfH 
 0.3111      3.91      1.61     0.00     0.00      3.28      1.32   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3112      3.91      1.60     0.00     0.00      3.28      1.32   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3113      3.91      1.60     0.00     0.00      3.28      1.32   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3114      3.90      1.60     0.00     0.00      3.27      1.32   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3115      3.90      1.60     0.00     0.00      3.27      1.32   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3116      3.89      1.60     0.00     0.00      3.27      1.31   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3117      3.89      1.60     0.00     0.00      3.26      1.31   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3118      3.89      1.60     0.00     0.00      3.26      1.31   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3119      3.88      1.59     0.00     0.00      3.26      1.31   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3120      3.88      1.59     0.00     0.00      3.25      1.31   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3121      3.88      1.59     0.00     0.00      3.25      1.31   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3122      3.87      1.59     0.00     0.00      3.24      1.31   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3123      3.87      1.59     0.00     0.00      3.24      1.30   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3124      3.87      1.59     0.00     0.00      3.24      1.30   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3125      3.86      1.59     0.00     0.00      3.23      1.30   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3126      3.86      1.58     0.00     0.00      3.23      1.30   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3127      3.85      1.58     0.00     0.00      3.23      1.30   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3128      3.85      1.58     0.00     0.00      3.22      1.30   0.21   0.11  0.42   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3129      3.85      1.58     0.00     0.00      3.22      1.30   0.21   0.11  0.42   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3130      3.84      1.58     0.00     0.00      3.22      1.29   0.21   0.11  0.42   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3131      3.84      1.58     0.00     0.00      3.21      1.29   0.21   0.11  0.42   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3132      3.84      1.58     0.00     0.00      3.21      1.29   0.21   0.11  0.42   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3133      3.83      1.57     0.00     0.00      3.20      1.29   0.21   0.11  0.42   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3134      3.83      1.57     0.00     0.00      3.20      1.29   0.21   0.11  0.42   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3135      3.83      1.57     0.00     0.00      3.20      1.29   0.21   0.11  0.42   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3136      3.82      1.57     0.00     0.00      3.19      1.29   0.21   0.11  0.42   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3137      3.82      1.57     0.00     0.00      3.19      1.28   0.21   0.11  0.42   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3138      3.82      1.57     0.00     0.00      3.19      1.28   0.21   0.11  0.42   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3139      3.81      1.57     0.00     0.00      3.18      1.28   0.21   0.11  0.42   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3140      3.82      1.57     0.00     0.00      3.19      1.28   0.21   0.11  0.42   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3141      3.87      1.59     0.00     0.00      3.24      1.30   0.21   0.11  0.42   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3142      4.11      1.69     0.00     0.00      3.48      1.40   0.21   0.11  0.42   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3143      4.74      1.94     0.00     0.00      4.12      1.66   0.21   0.11  0.42   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
